GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Unified Connector Framework,net.sf.dz3.view,Connector,200,36,18,2,52,12,16,2,6,2
Unified Connector Framework,net.sf.dz3.view,ConnectorFactory,3,0,0,0,1,0,1,0,1,0
