GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Google Calendar v3 API based schedule updater,net.sf.dz3.scheduler.gcal,GCalScheduleUpdater,872,0,34,0,158,0,28,0,11,0
Google Calendar v3 API based schedule updater,net.sf.dz3.scheduler.gcal,GCalScheduleUpdaterBase,33,0,0,0,9,0,4,0,4,0
Google Calendar v3 API based schedule updater,net.sf.dz3.scheduler.gcal,StatusParser,29,257,2,32,3,56,2,19,0,4
