GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
InfluxDB Connector,net.sf.dz3.view.influxdb.v1,InfluxDbConnector,37,0,0,0,10,0,6,0,6,0
InfluxDB Connector,net.sf.dz3.view.influxdb.v1,InfluxDbLogger,84,196,10,6,10,54,8,7,1,6
