GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Simulator,net.sf.dz3.modelhome,Room,15,108,4,4,3,29,4,10,0,10
Simulator,net.sf.dz3.modelhome,HvacUnit,10,62,2,2,2,17,2,6,0,6
Simulator,net.sf.dz3.modelhome,AmbientTemperatureAware,0,20,0,0,0,7,0,4,0,4
