GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Common Components,net.sf.dz3.instrumentation,Marker,230,0,8,0,55,0,12,0,8,0
Common Components,net.sf.dz3.util.counter,TimeBasedUsage,0,74,0,6,0,14,0,6,0,3
Common Components,net.sf.dz3.util.counter,FileUsageCounter,32,380,2,28,2,62,2,17,0,4
Common Components,net.sf.dz3.util.counter,AbstractUsageCounter,78,229,3,15,15,46,6,15,4,8
Common Components,net.sf.dz3.util.counter,TransientUsageCounter,66,90,0,10,11,18,5,8,5,3
Common Components,net.sf.dz3.util.counter,AbstractUsageCounter.CounterState,0,32,0,0,0,8,0,2,0,2
Common Components,net.sf.dz3.util,SSLContextFactory,115,0,8,0,27,0,7,0,3,0
Common Components,net.sf.dz3.util.digest,MessageDigestCache,3,90,0,8,1,23,1,7,1,3
